Company;Sector;Industry;Report Year;Report URL;File Name;File Type;Status;Local Path
2W Ecobank SA;Renewable Resources & Alternative Energy;Wind Technology & Project Developers;2022;https://api.mziq.com/mzfilemanager/v2/d/4f5cf082-7b8a-47ad-9013-5de0ecda0d59/89b2dece-cf43-cb3c-6014-3f53e954e352?origin=1;Wind Technology & Project Developers.pdf;PDF;success;reports\Renewable Resources & Alternative Energy\Wind Technology & Project Developers.pdf
3i Group PLC;Financials;Asset Management & Custody Activities;2024;https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf;3i Group PLC_2024.pdf;PDF;success;reports\Financials\Asset Management & Custody Activities\3i Group PLC_2024.pdf
A&T Europe - Spa;Infrastructure;Engineering & Construction Services;2023;https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf;A&T Europe - Spa_2023.pdf;PDF;success;reports\Infrastructure\Engineering & Construction Services\A&T Europe - Spa_2023.pdf
a2 Milk Co Ltd-The;Food & Beverage;Meat, Poultry & Dairy;2024;https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf;a2 Milk Co Ltd-The_2024.pdf;PDF;success;reports\Food & Beverage\Meat, Poultry & Dairy\a2 Milk Co Ltd-The_2024.pdf
AAON Inc;Resource Transformation;Electrical & Electronic Equipment;2023;https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf;AAON Inc_2023.pdf;PDF;success;reports\Resource Transformation\Electrical & Electronic Equipment\AAON Inc_2023.pdf
AAR Corp;Resource Transformation;Aerospace & Defence;2024;https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf;AAR Corp_2024.pdf;PDF;success;reports\Resource Transformation\Aerospace & Defence\AAR Corp_2024.pdf
Aarti Industries Ltd;Resource Transformation;Chemicals;2023-2024;https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf;Aarti Industries Ltd_2023-2024.pdf;PDF;success;reports\Resource Transformation\Chemicals\sustainability-report-2023-2024.pdf
AB - AllianceBernstein Holding LP;Financials;Asset Management & Custody Activities;2024;https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf;AB - AllianceBernstein Holding LP_2024.pdf;PDF;success;reports\Financials\Asset Management & Custody Activities\AB - AllianceBernstein Holding LP_2024.pdf
ABB Ltd.;Resource Transformation;Electrical & Electronic Equipment;2024;https://search.abb.com/library/Download.aspx?DocumentID=9AKK108470A7211&LanguageCode=en&DocumentPartId=&Action=Launch;SustainabilityStatement202024.pdf;PDF;success;reports\Resource Transformation\Electrical & Electronic Equipment\SustainabilityStatement202024.pdf
Abbott Laboratories;Health Care;Medical Equipment & Supplies;2023;https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf;Abbott Laboratories_2023.pdf;PDF;success;reports\Health Care\Medical Equipment & Supplies\Abbott Laboratories_2023.pdf
AbbVie Inc;Health Care;Biotechnology & Pharmaceuticals;2023;https://www.abbvie.com/content/dam/abbvie-com2/pdfs/esg-disclosure-supplement.pdf;AbbVie Inc_2023.pdf;PDF;success;reports\Health Care\Biotechnology Pharmaceuticals\esg-disclosure-supplement.pdf
Abengoa Yield plc;Infrastructure;Electric Utilities & Power Generators;2023;https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf;Abengoa Yield plc_2023.pdf;PDF;success;reports\Infrastructure\Electric Utilities & Power Generators\Abengoa Yield plc_2023.pdf
ABN AMRO Bank NV;Financials;Commercial Banks;2021;https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf;ABN AMRO Bank NV_2021.pdf;PDF;success;reports\Financials\Commercial Banks\ABN AMRO Bank NV_2021.pdf
Abrdn plc;Financials;Asset Management & Custody Activities;2024;https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf;Abrdn plc_2024.pdf;PDF;success;reports\Financials\Asset Management & Custody Activities\Abrdn plc_2024.pdf
Abu Dhabi Commercial Bank PJSC ADCB;Financials;Commercial Banks;2023;https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf;Abu Dhabi Commercial Bank PJSC ADCB_2023.pdf;PDF;success;reports\Financials\Commercial Banks\Abu Dhabi Commercial Bank PJSC ADCB_2023.pdf
AC Energy Inc.;Infrastructure;Electric Utilities & Power Generators;2023;https://www.acenrenewables.com/wp-content/uploads/2024/04/2023-ACEN-Integrated-Report_final.pdf;AC Energy Inc._2023.pdf;PDF;success;reports\Infrastructure\Electric Utilities & Power Generators\AC Energy Inc._2023.pdf
Acadia Healthcare Co Inc;Health Care;Health Care Delivery;2023;https://www.acadiahealthcare.com/wp-content/uploads/sites/173/2024/08/Final-ACHC-Sustainability-Report-July-2024.pdf;Acadia Healthcare Co Inc_2023.pdf;PDF;success;reports\Health Care\Health Care Delivery\Acadia Healthcare Co Inc_2023.pdf
Accenture Development Partnerships;Technology & Communications;Software & IT Services;2024;https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-Sustainability-Accounting-Standards-Board-Index-2024.pdf;Accenture Development Partnerships_2024.pdf;PDF;success;reports\Technology & Communications\Software & IT Services\Accenture Development Partnerships_2024.pdf
ACCO Brands Corp;Consumer Goods;Multiline and Specialty Retailers & Distributors;2023;https://s27.q4cdn.com/496738823/files/doc_downloads/2024/09/esg_final.pdf;ACCO Brands Corp_2023.pdf;PDF;success;reports\Consumer Goods\Multiline and Specialty Retailers & Distributors\ACCO Brands Corp_2023.pdf
Accor SA;Services;Hotels & Lodging;2021;https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf;Accor SA_2021.pdf;PDF;success;reports\Services\Hotels & Lodging\Accor SA_2021.pdf
Accsys Technologies PLC;Consumer Goods;Building Products & Furnishings;2023;https://www.accsysplc.com/app/uploads/2023/07/Accsys-SASB-Report-2023.pdf;Accsys Technologies PLC_2023.pdf;PDF;success;reports\Consumer Goods\Building Products & Furnishings\Accsys Technologies PLC_2023.pdf
Accton Technology Corp;Technology & Communications;Hardware;2023;https://www.accton.com/wp-content/uploads/2024/07/Accton-2023ESG-EN_resize.pdf;Accton Technology Corp_2023.pdf;PDF;success;reports\Technology & Communications\Hardware\Accton Technology Corp_2023.pdf
ACE Enexor Inc;Extractives & Minerals Processing;Oil & Gas - Exploration & Production;2021;https://www.acenrenewables.com/ir2021/pdf/ACEN-Integrated-Report-2021.pdf;ACE Enexor Inc_2021.pdf;PDF;success;reports\Extractives & Minerals Processing\Oil & Gas – Exploration & Production\ACE Enexor Inc_2021.pdf
Acer E-Enabling Service Business Inc;Technology & Communications;Software & IT Services;2023;https://images.aceraeb.com/acer/MsgInfo/241218-sk001.pdf;Acer E-Enabling Service Business Inc_2023.pdf;PDF;success;reports\Technology & Communications\Software & IT Services\Acer E-Enabling Service Business Inc_2023.pdf
Acer Inc;Technology & Communications;Hardware;2023;https://www.acer.com/sustainability/uploads/files/shares/sustainability-report/2023_Acer_Sustainability_Report.pdf;Acer Inc_2023.pdf;PDF;success;reports\Technology & Communications\Hardware\2023_Acer_Sustainability_Report.pdf
Acerinox SA;Extractives & Minerals Processing;Iron & Steel Producers;2023;https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2023-Integrated-Annual-Report.pdf;Acerinox SA_2023.pdf;PDF;success;reports\Extractives & Minerals Processing\Iron & Steel Producers\Acerinox SA_2023.pdf
